onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 5.173	ITI	0	0	 0.000
 5.173	 0.557	speech	0	0	 0.000
 5.730	 4.377	ITI	0	0	 0.000
 10.107	 0.557	artificial	0	0	 0.000
 10.664	 4.139	ITI	0	0	 0.000
 14.803	 0.558	artificial	0	0	 0.000
 15.361	 5.332	ITI	0	0	 0.000
 20.693	 0.557	non_speech	0	0	 0.000
 21.250	 4.297	ITI	0	0	 0.000
 25.547	 0.557	emotional	0	0	 0.000
 26.104	 4.536	ITI	0	0	 0.000
 30.640	 0.557	animal	0	0	 0.000
 31.197	 4.776	ITI	0	0	 0.000
 35.973	 0.557	environmental	0	0	 0.000
 36.530	 4.616	ITI	0	0	 0.000
 41.146	 0.557	environmental	0	0	 0.000
 41.703	 4.377	ITI	0	0	 0.000
 46.080	 0.557	animal	0	0	 0.000
 46.637	 5.015	ITI	0	0	 0.000
 51.652	 0.557	animal	0	0	 0.000
 52.209	 4.377	ITI	0	0	 0.000
 56.586	 0.557	artificial	0	0	 0.000
 57.143	 4.377	ITI	0	0	 0.000
 61.520	 0.557	emotional	0	0	 0.000
 62.077	 4.377	ITI	0	0	 0.000
 66.454	 0.558	non_speech	0	0	 0.000
 67.012	 4.855	ITI	0	0	 0.000
 71.867	 0.557	non_speech	0	0	 0.000
 72.424	 4.218	ITI	0	0	 0.000
 76.642	 0.557	speech	0	0	 0.000
 77.199	 5.730	ITI	0	0	 0.000
 82.929	 0.557	emotional	0	0	 0.000
 83.486	 5.333	ITI	0	0	 0.000
 88.819	 0.557	non_speech	0	0	 0.000
 89.376	 4.536	ITI	0	0	 0.000
 93.912	 0.557	animal	0	0	 0.000
 94.469	 4.377	ITI	0	0	 0.000
 98.846	 0.557	artificial	0	0	 0.000
 99.403	 5.253	ITI	0	0	 0.000
 104.656	 0.557	emotional	0	0	 0.000
 105.213	 4.298	ITI	0	0	 0.000
 109.511	 0.557	emotional	0	0	 0.000
 110.068	 4.934	ITI	0	0	 0.000
 115.002	 0.557	environmental	0	0	 0.000
 115.559	 4.298	ITI	0	0	 0.000
 119.857	 0.558	artificial	0	0	 0.000
 120.415	 4.774	ITI	0	0	 0.000
 125.189	 0.558	emotional	0	0	 0.000
 125.747	 5.013	ITI	0	0	 0.000
 130.760	 0.557	speech	0	0	 0.000
 131.317	 4.616	ITI	0	0	 0.000
 135.933	 0.557	environmental	0	0	 0.000
 136.490	 4.458	ITI	0	0	 0.000
 140.948	 0.557	environmental	0	0	 0.000
 141.505	 4.297	ITI	0	0	 0.000
 145.802	 0.557	non_speech	0	0	 0.000
 146.359	 5.014	ITI	0	0	 0.000
 151.373	 0.557	speech	0	0	 0.000
 151.930	 4.935	ITI	0	0	 0.000
 156.865	 0.557	artificial	0	0	 0.000
 157.422	 4.934	ITI	0	0	 0.000
 162.356	 0.557	non_speech	0	0	 0.000
 162.913	 4.457	ITI	0	0	 0.000
 167.370	 0.557	animal	0	0	 0.000
 167.927	 4.219	ITI	0	0	 0.000
 172.146	 0.557	environmental	0	0	 0.000
 172.703	 5.013	ITI	0	0	 0.000
 177.716	 0.558	non_speech	0	0	 0.000
 178.274	 4.456	ITI	0	0	 0.000
 182.730	 0.557	speech	0	0	 0.000
 183.287	 4.855	ITI	0	0	 0.000
 188.142	 0.557	emotional	0	0	 0.000
